,key,Inclusion decision,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
7483,rayyan-1101989315,Exclude,SavorPhos as an all-natural phosphate replacer in water- and oil-based marinades for rotisserie birds and boneless-skinless breast,2013.0,1,1,,0032-5791,92.0,12.0,3236-3243,"Casco, G. and Veluz, G. A. and Alvarado, C. Z.",,,,,"As consumer demand for all-natural marinades increases, the need to replace phosphate with a natural product that can produce equivalent or improved yield in products such as but not limited to rotisserie chickens (whole birds without giblets) and boneless/skinless breast (BSB) is a challenge for processors. The objective of this study was to determine if using an all-natural nonphosphate blend (SavorPhos-200, SP) in water-based (WB) and oil-based (OB) marinades would perform better than a commercial phosphate blend (PB). The treatments included WB+PB (water, 0.4% phosphate, 0.7% salt), WB+SP (water, 0.5% SavorPhos-200, 0.7% salt), OB+PB (water, 3% oil, 0.4% phosphate, 0.7% salt), and OB+SP (water, 3% oil, 0.5% SavorPhos-200, 0.7% salt). The rotisserie chickens and BSB were injected with a multineedle injector to 20% (wt/wt) pickup at a constant pressure (103-138 kPa). The parameters measured were marinade pickup %, 20-min and 24-h marinade retention %, and cook loss %. Color, tenderness, total moisture, and sensory test were conducted on BSB. Data were analyzed within marinade type (WB and OB). Rotisserie birds picked up and retained the same yield in WB marinades. In OB marinades, SP had higher yields postinjection and lower cook loss % than the PB, while retaining the same yield over 24 h. For BSB, the cook loss was lower in SP than the PB in WB marinades. Higher yields postinjection were achieved with OB, but had the same retention 20 min and 24 h postinjection and cook loss % as the PB. No differences were observed for total moisture or L* (lightness) within marinade type and treatment. Texture was lower, indicating increased tenderness (P < 0.05) on SP samples in both marinades. However, consumers were not able to distinguish between treatments in sensory analyses. Therefore, SavorPhos-200 can be used as a natural nonphosphate blend in WB marinades with no detriment to yield. In addition, SavorPhos-200 can be used as a natural nonphosphate blend in OB marinades with yield improvements.",,,Phosphates,,
4755,rayyan-1101986520,Exclude,Random addressable 2048 x 2048 active pixel image sensor,1997.0,1,1,,0018-9383,44.0,10.0,1716-1720,"Scheffer, D and Dierickx, B and Meynants, G",,,,,"In this paper, ave discuss the design, design issues, fabrication, and performance of a 2048 x 2048 active pixel image sensor in a 0.5-mu m standard CMOS process. Each pixel, 7.5 x 7.5 mu m(2), consist of three transistors and a photo diode, resulting in a 12-million transistor chip with a die size of 16.3 x 16.5 mm. The pixel has a nonintegrating direct readout architecture, with a logarithmic light-to-voltage conversion. This allows the array to he fully random accessible, both in space and time. The sensor has eight analog outputs, each with a pixel rate of 4.5 MHz, which implies a maximum frame rate of eight full frames per second. Sub-sampling or windowing retakes higher frame rates possible. The yield of the senses is high if one accepts a small number of bad pixels.",,,Random Allocation,,
776,rayyan-1101982541,Exclude,Genetic differentiation between sun and shade habitats in populations of Lindera benzoin L.,2010.0,1,1,,1438-3896,52.0,3.0,417-425,"Mooney, Emily and Edwards, Marten and Niesenbaum, Richard",,,,,"Differences in selection patterns among habitats can alter the distribution of genetic diversity even when this is estimated with neutral markers. For plants, light is an essential resource that can influence both abiotic and biotic components of habitat. We examined genetic differentiation between sun and shade habitats in Lindera benzoin L. (Spicebush), a perennial understory shrub. Genetic diversity of 127 plants from sun and shade habitats in two populations of L. benzoin was determined using 12 polymorphic microsatellite markers. We analyzed patterns of genetic diversity using analysis of molecular variance (AMOVA), and we assessed correlation between genetic and geographic distance using Mantel tests. We found (1) low levels of differentiation among populations (F (ST) = 0.028), (2) little evidence of genetic structure within populations due to isolation-by-distance, and (3) some evidence of habitat-based genetic differentiation. Specifically, the AMOVA showed a small (0.5%) but significant portion of overall variation could be explained by differences between habitats. The overall low levels of differentiation we saw were likely a result of extensive gene flow in this dioecious, bird-dispersed species.","RAYYAN-INCLUSION: {""Carrie An""=>""Excluded""}",,,,
10327,rayyan-1101992159,Exclude,Quantitative zone-axis convergent-beam electron diffraction (CBED) studies of metals. II. Debye-Waller-factor measurements,1999.0,1,1,,0108-7673,55.0,,480-488,"Saunders, M and Fox, AG and Midgley, PA",,,,,"Quantitative CBED techniques, such as the ZAPMATCH zone-axis pattern-matching method [Bird & Saunders (1992). Ultramicroscopy, 45, 241-251], have been applied with great success to the accurate refinement of low-order structure factors. The major limitation on the accuracy of the structure-factor measurements is uncertainty in the Debye-Waller factors describing the temperature-dependent atomic vibrations. While X-ray and neutron diffraction techniques are both capable of accurate measurements of Debye-Waller factors, the frequent use of liquid-nitrogen-cooled samples in CBED experiments means that previous measurements are rarely available at the temperatures required. This has prompted attempts to determine Debye-Waller factors from electron diffraction data obtained under experimental conditions that match those used for the quantitative CBED work. In this paper, the possibility of extracting accurate Debye-Waller factors from the low-order reflections of a zone-axis CBED pattern is investigated. In this way, the Debye-Waller factors and structure factors could be obtained from the same data set. With this new approach, it is shown that errors lower than +/-0.02 Angstrom(2) can be obtained for the measurement of Debye-Waller factors from room- and liquid-nitrogen-temperature nickel and copper [110] zone-axis data. The results obtained are compared with previous measurements and theoretical predictions.",,,,,
8626,rayyan-1101990458,Exclude,Ecological opportunities and individual condition as predictors of extra-pair paternity in a south-temperate swallow (Tachycineta leucorrhoa),2018.0,1,1,,0273-8570,89.0,3.0,221-233,"Ferretti, Valentina and Massoni, Viviana and Bulit, Florencia and Lovette, Irby J.",,,,,"Ecological and physiological factors such as breeding density, breeding synchrony, and adult body condition can all affect extra-pair mating behavior, bur the relative importance of these factors may vary among species. White-rumped Swallows (Tachycineta leucorrhoa) nesting in Buenos Aires Province, Argentina, exhibit high rates of extra-pair paternity, with 77% of nests having extra-pair young. Our objective was to determine the extent to which extra-pair paternity in this species is explained by breeding synchrony, breeding density, and adult body condition. Our study of a population of White-rumped Swallows breeding in nest boxes was conducted during two consecutive breeding seasons (September - early January 2006-2008). We found that neither breeding synchrony nor density of neighbors predicted levels of extra-pair paternity in our study population. Leaner females were more likely to engage in extra-pair behavior and fledged more nestlings, but did not differ in structural size from females that did not engage in extra-pair behavior, suggesting that female mass is an important predictor of mating decisions and fitness for these aerial insectivores. Male body condition was not related to male extra-pair behavior. The mass of female White-ramped Swallows may affect their flying ability such that, during their fertile period, they are exposed to more potential extra-pair mates during longer foraging flights. Being lighter may also improve the ability of females to provision nestlings later in the breeding cycle.",,,Paternalism;Deglutition;Paternity,,
9248,rayyan-1101991080,Exclude,Salt city blues: A robin light mystery,2005.0,1,1,,0363-0277,130.0,8.0,65-65,"Klett, RE",,,,,,,,,,
3233,rayyan-1101984998,Exclude,Corner-cube four-detector photopolarimeter,1997.0,1,1,,0030-3992,29.0,5.0,233-238,"Liu, J and Azzam, RMA",,,,,"The four-detector photopolarimeter is operated using the compact and easier-to-align corner-cube configuration, and theoretical and experimental instrument matrices ave given, Experimental results are consistent with theory, Light-beam deviation effects are also analysed and some improvement in the field of view is reported. (C) 1997 Elsevier Science Ltd.",,,,,
7044,rayyan-1101988876,Exclude,Regulation of melatonin secretion in the pineal organ of the domestic duck - an in vitro study,2015.0,1,1,,1505-1773,18.0,3.0,635-644,"Prusik, M. and Lewczuk, B. and Ziolkowska, N. and Przybylska-Gornowicz, B.",,,,,"The aim of study was to determine the mechanisms regulating melatonin secretion in the pineal organs of 1-day-old and 9-month-old domestic ducks. The pineals were cultured in a superfusion system under different light conditions. Additionally, some explants were treated with norepinephrine. The pineal glands of 1-day-old ducks released melatonin in a well-entrained, regular rhythm during incubation under a 12 hrs light : 12 hrs dark cycle and adjusted their secretory activity to a reversed 12 hrs dark : 12 hrs light cycle within 2 days. In contrast, the diurnal changes in melatonin secretion from the pineals of 9-month-old ducks were largely irregular and the adaptation to a reversed cycle lasted 3 days. The pineal organs of nestling and adult ducks incubated in a continuous light or darkness secreted melatonin in a circadian rhythm. The treatment with norepinephrine during photophases of a light-dark cycle resulted in: 1) a precise adjustment of melatonin secretion rhythm to the presence of this catecholamine in the culture medium, 2) a very high amplitude of the rhythm, 3) a rapid adaptation of the pineal secretory activity to a reversed light-dark cycle. The effects of norepinephrine were similar in the pineal organs of nestlings and adults. In conclusion, melatonin secretion in the duck pineal organ is controlled by three main mechanisms: the direct photoreception, the endogenous generator and the noradrenergic transmission. The efficiency of intra-pineal, photosensitivity-based regulatory mechanism is markedly lower in adult than in nestling individuals.",,,"Social Control, Formal;Melatonin;Social Control, Informal",,
7512,rayyan-1101989344,Exclude,Variation at phenological candidate genes correlates with timing of dispersal and plumage morph in a sedentary bird of prey,2013.0,1,1,,0962-1083,22.0,21.0,5430-5440,"Chakarov, Nayden and Jonker, Rudy M. and Boerner, Martina and Hoffman, Joseph I. and Krueger, Oliver",,,,,"Polymorphic genes involved in the conserved molecular signalling of circadian and circannual clocks may play important roles in governing the timing of breeding and dispersal and thereby affect fitness in vertebrates. However, relatively few studies have explored associations between phenological candidate genes and behaviour, and these are somewhat biased towards particular taxonomic groups such as passerine birds and salmonid fish. Consequently, we assayed microsatellite polymorphisms within the exonic and 3 untranslated regions of the regulatory genes CLOCK, NPAS2, ADCYAP1 and CREB1 in the common buzzard (Buteo buteo), a polymorphic raptor species with three plumage morphs that differ in key life history traits including lifetime reproductive success. In contrast to studies of passerines, CLOCK poly-glutamine (poly-Q) was found to be monomorphic in 976 common buzzard nestlings as well as in three other Buteo species. Moreover, none of the candidate genes were significantly associated with fledging dates, although intermediately melanized females were found to lay earlier on average than light or dark morph individuals, and their offspring carried longer ADCYAP1 alleles. In contrast, all three candidate genes explained significant variation in one or more measures of juvenile buzzard dispersal (resighting probability, timing of dispersal and distance dispersed). Our findings contribute towards a broader body of work on the adaptive significance of CLOCK polymorphism, while also building upon previous studies that have documented links between ADCYAP1 variability and the timing of migration.",,,,,
3855,rayyan-1101985620,Exclude,Toroidal field model coil geometry survey,2002.0,1,1,,,,,213-216,"Talarico, C and Lo Bue, A and Semeraro, L and Hurd, F and Cassani, C",,,,,"The Toroidal Field Model Coil (TFMC) is a 36 tons ""race-track"" shaped coil about 4 in high and 3 in wide scaled with respect to the full-size ITER TF coils and including the key technical features and manufacturing approaches foreseen for the actual ITER TIT coils. The objective of the TFMC Project is to develop and demonstrate the superconducting magnet technology to a level that will allow the ITER TF coils to be built with confidence. The TFMC has been installed in the TOSKA facility (Forschunszentrum Karlsruhe, Germany) after assembling the TFMC into a 27 tons stainless steel Intercoil Structure which interfaces the TFMC to the TOSKA facility. Due to the complexity of the assembly operations, and in order to avoid any trial-and-error assembly process with the associated loss of time and waste of resources, computer simulations have been extensively used. Additionally, starting from 3D CATIA models, a laser tracking technique has been utilized to retrieve as built geometry data of each sub assembly. The raw data have been analyzed and combined to verify the assembly procedure and to identify corrective actions before the real installation. The whole survey has been accomplished by ENEA during three different survey campaigns carried out at Alstom (Belfort, France) and at Forschungszentrum Karlsruhe (FZK, Karlsruhe, Germany) sites. The implementation of the data resulted in the TFMC being installed with no loss of time due to modifications to components previously measured and analyzed by the method reported here. This paper illustrates the geometry survey, the method and the instrumentation adopted and the results obtained. Moreover, it gives guidelines to the designer to be taken Into account in the assembly planning of large and heavy components.",,,,,
7607,rayyan-1101989439,Exclude,Genomics analysis of potassium channel genes in songbirds reveals molecular specializations of brain circuits for the maintenance and production of learned vocalizations,2013.0,1,1,,1471-2164,14.0,,-,"Lovell, Peter V. and Carleton, Julia B. and Mello, Claudio V.",,,,,"Background: A fundamental question in molecular neurobiology is how genes that determine basic neuronal properties shape the functional organization of brain circuits underlying complex learned behaviors. Given the growing availability of complete vertebrate genomes, comparative genomics represents a promising approach to address this question. Here we used genomics and molecular approaches to study how ion channel genes influence the properties of the brain circuitry that regulates birdsong, a learned vocal behavior with important similarities to human speech acquisition. We focused on potassium (K-)Channels, which are major determinants of neuronal cell excitability. Starting with the human gene set of K-Channels, we used cross-species mRNA/protein alignments, and syntenic analysis to define the full complement of orthologs, paralogs, allelic variants, as well as novel loci not previously predicted in the genome of zebra finch (Taeniopygia guttata). We also compared protein coding domains in chicken and zebra finch orthologs to identify genes under positive selective pressure, and those that contained lineage-specific insertions/deletions in functional domains. Finally, we conducted comprehensive in situ hybridizations to determine the extent of brain expression, and identify K-Channel gene enrichments in nuclei of the avian song system. Results: We identified 107 K-Channel finch genes, including 6 novel genes common to non-mammalian vertebrate lineages. Twenty human genes are absent in songbirds, birds, or sauropsids, or unique to mammals, suggesting K-Channel properties may be lineage-specific. We also identified specific family members with insertions/deletions and/or high dN/dS ratios compared to chicken, a non-vocal learner. In situ hybridization revealed that while most K-Channel genes are broadly expressed in the brain, a subset is selectively expressed in song nuclei, representing molecular specializations of the vocal circuitry. Conclusions: Together, these findings shed new light on genes that may regulate biophysical and excitable properties of the song circuitry, identify potential targets for the manipulation of the song system, and reveal genomic specializations that may relate to the emergence of vocal learning and associated brain areas in birds.",,,Potassium Channels;Genome;Genomics;Brain,,
711,rayyan-1101982476,Exclude,Shedding Light on Avian Influenza H4N6 Infection in Mallards: Modes of Transmission and Implications for Surveillance,2010.0,1,1,,1932-6203,5.0,9.0,-,"VanDalen, Kaci K. and Franklin, Alan B. and Mooers, Nicole L. and Sullivan, Heather J. and Shriner, Susan A.",,,,,"Background: Wild mallards (Anas platyrhychos) are considered one of the primary reservoir species for avian influenza viruses (AIV). Because AIV circulating in wild birds pose an indirect threat to agriculture and human health, understanding the ecology of AIV and developing risk assessments and surveillance systems for prevention of disease is critical. Methodology/Principal Findings: In this study, mallards were experimentally infected with an H4N6 subtype of AIV by oral inoculation or contact with an H4N6 contaminated water source. Cloacal swabs, oropharyngeal swabs, fecal samples, and water samples were collected daily and tested by real-time RT-PCR (RRT-PCR) for estimation of viral shedding. Fecal samples had significantly higher virus concentrations than oropharyngeal or cloacal swabs and 6 month old ducks shed significantly more viral RNA than 3 month old ducks regardless of sample type. Use of a water source contaminated by AIV infected mallards, was sufficient to transmit virus to naive mallards, which shed AIV at higher or similar levels as orally-inoculated ducks. Conclusions: Bodies of water could serve as a transmission pathway for AIV in waterfowl. For AIV surveillance purposes, water samples and fecal samples appear to be excellent alternatives or additions to cloacal and oropharyngeal swabbing. Furthermore, duck age (even within hatch-year birds) may be important when interpreting viral shedding results from experimental infections or surveillance. Differential shedding among hatch-year mallards could affect prevalence estimates, modeling of AIV spread, and subsequent risk assessments.",,,"Influenza, Human",,
4775,rayyan-1101986540,Exclude,Complementation analysis of carotenogenic mutants of Mucor circinelloides,1997.0,1,1,,1087-1845,22.0,1.0,19-27,"Velayos, A and LopezMatas, MA and RuizHidalgo, MJ and Eslava, AP",,,,,"Mutants of the filamentous fungus Mucor circinelloides altered in the synthesis of beta-carotene (genotype car) have been isolated by direct inspection of the color shown by the colonies derived from mutagenized spores. The mutants were analyzed for the carotenoid content in darkness and light and studied with respect to complementation in heterokaryons made by spheroplast fusion, The results revealed the existence of at least four complementation groups. The carB mutants are white and accumulate phytoene, The carR mutants ave red and accumulate lycopene. The carP mutants are most likely disturbed in the synthesis of phytoene: two of them are white and do not accumulate carotenoids; another carP mutant is yellowish, probably because it is leaky. There are three yellowish mutants which belong to one or more complementation groups different from carB, carR, and carP, Two white mutants obtained in a single mutagenization step failed to complement with the carR and the carP mutants. The wild-type and the carB and carR mutants tested for M. circinelloides showed similar photoinduction. (C) 1997 Academic Press.",,,,,
2297,rayyan-1101984062,Exclude,"Conspicuousness, not colour as foraging cue in plant-animal signalling",2004.0,1,1,,0030-1299,106.0,3.0,551-557,"Schmidt, V and Schaefer, HM and Winkler, H",,,,,"The global prevalence of red and black fruits has still not been explained. Hypotheses based on innate consumer preferences have been tested and rejected. Though colour itself plays an important role in animal foraging, it is only one component of signals. Another major component are colour contrasts against background achieving the conspicuousness of signals. In order to evaluate which signal component determines consumers behaviour, we measured fruit colour and colour contrasts of 43 species against their natural background under ambient light conditions. Red and black fruits exhibit stronger contrasts and are therefore more conspicuous to consumers than fruits of other colours. Subsequently, trials were carried out to determine whether colour or conspicuousness influences avian food choice. Four bird species strongly preferred contrasting red-green or black-green over uni-coloured red, green, or black fruit displays, while no preference for particular hues was found. We therefore hypothesize that conspicuousness determines avian food selection and define the contrast hypothesis: Diurnal dispersers select fruit colours based on their conspicuousness and not their colour itself. Because colour vision is an ancient trait, the entire heterogeneous group of frugivorous birds most likely perceives conspicuousness uniformly over evolutionary time spans. Conspicuousness has thus the potential to explain the global prevalence of red and black fruits.",,,Animal Shells;Animals;Cues,,
9687,rayyan-1101991519,Exclude,"THE DESIGN, FABRICATION AND TESTING OF THE GLASSHOPPER PROTOTYPE COVERED HOPPER RAIL CARS",1994.0,1,1,,0263-8223,27.0,2.0,207-213,"RUHMANN, DC",,,,,"Glasshopper(R), the first fiberglass covered hopper cars to be used in rail service, were introdued to the public by Cargill, Inc., Southern Pacific Transportation Co. and ACF Industries, Inc. The Glasshoppers are larger, but lighter, than conventional steel covered hopper cars and are, therefore, able to deliver more commodity per fuel dollar. The development of the Glasshopper, beginning with the initiation of the program by Cargill in 1973 through the successful design, fabrication and testing of the first prototype car and the design and fabrication of the second prototype car by Glasshopper, Inc., a joint venture, is traced in this paper. The major advantages which result from the use of composite materials in the design and fabrication of covered hopper cars for the railroad industry, such as weight savings, fuel savings, corrosion resistance and lower maintenance costs, are discussed. The selection of materials, e.g. reinforcements, resins and adhesives, and the processes used in the construction of the two cars, are summarized. Nonproprietary design features of the Glasshopper are presented and a comparison of the Glasshopper with conventional steel covered hopper cars is made. The final portion of the paper presents an overview of both the laboratory test and road test programs associated with the qualification of the prototype cars for rail service. Glasshopper I and II successfully passed all of the required American Association of Railroads tests including the 1 000 000 lb (c. 454 000 kg) static and compression test and the 1 250 000 lb (c. 567 000 kg) coupler force impact test in the laboratory. In addition, Glasshopper I successfully completed a 6000 mile (c. 9660 km) round trip between St. Louis, Missouri, and Oakland,California",,,,,
2374,rayyan-1101984139,Exclude,Presynaptic N-methyl-D-aspartate receptor expression is increased by estrogen in an aromatase-rich area of the songbird hippocampus,2004.0,1,1,,0021-9967,469.0,4.0,522-534,"Saldanha, CJ and Schlinger, BA and Micevych, PE and Horvath, TL",,,,,"The vertebrate hippocampus (HP) is sensitive to estrogens, in part via effects on N-methyl-D-aspartate (NMDA)-type glutamate receptors (NR). Although the precise mechanism of this interaction is unclear, it constitutes a key interface in the plasticity of the adult vertebrate HP. The songbird HP expresses high levels of aromatase (estrogen synthase), suggesting that locally generated steroid may affect excitatory pathways. By using light, confocal, and electron microscopy with antibodies that specifically recognize aromatase and NR, we have 1) mapped their distribution in the zebra finch brain., 2) documented their coexpression in HP neurons, 3) studied the ultrastructure of NR-expressing cells in the HP, and 4) tested the influence of estrogen on the cellular and subcellular characteristics of NR-positive HP neurons. Aromatase and NR are coexpressed in HP neurons. NRs are detectable in presynaptic boutons of the songbird HP in addition to postsynaptic loci. Treatment with estrogen increased the somal size and innervation of NR-positive neurons and the frequency of presynaptic NR. Autoreception of excitatory neurotransmission via presynaptic NR may promote the strengthening of activity-dependent, excitatory synapses, thereby enhancing learning. NR-mediated autoreception may underlie estrogenic enhancement of HP structural and functional plasticity. (C) 2004 Wiley-Liss, Inc.",,,"Hippocampus;Receptors, N-Methyl-D-Aspartate;Estrogens",,
3427,rayyan-1101985192,Exclude,More from less: high-throughput dual polarity lipid imaging of biological tissues,2016.0,1,1,,0003-2654,141.0,12.0,3832-3841,"Ellis, Shane R. and Cappell, Joanna and Potocnik, Nina Ogrinc and Balluff, Benjamin and Hamaide, Julie and Van der Linden, Annemie and Heeren, Ron M. A.",,,,,"The high ion signals produced by many lipids in mass spectrometry imaging (MSI) make them an ideal molecular class to study compositional changes throughout tissue sections and their relationship with disease. However, the large extent of structural diversity observed in the lipidome means optimal ion signal for different lipid classes is often obtained in opposite polarities. In this work we demonstrate how new high speed MALDI-MSI technologies combined with precise laser position control enables the acquisition of positive and negative ion mode lipid data from the same tissue section much faster than is possible with other MSI instruments. Critically, using this approach we explicitly demonstrate how such dual polarity acquisitions provide more information regarding molecular composition and spatial distributions throughout biological tissues. For example, in applying this approach to the zebra finch songbird brain we reveal the high abundance of DHA containing phospholipids (PC in positive mode and PE, PS in negative ion mode) in the nuclei that control song learning behaviour. To make the most of dual polarity data from single tissues we have also developed a pLSA-based multivariate analysis technique that includes both positive and negative ion data in the classification approach. In doing so the correlation amongst different lipid classes that ionise best in opposite polarities and contribute to certain spatial patterns within the tissue can be directly revealed. To demonstrate we apply this approach to studying the lipidomic changes throughout the tumor microenvironment within xenografts from a lung cancer model.",,,,,
9976,rayyan-1101991808,Exclude,PANCREATIC-ISLETS OF COTURNIX QUAIL - LIGHT AND ELECTRON-MICROSCOPIC STUDY WITH SPECIAL REFERENCE TO ISLET ORGAN OF SPLENIC LOBE,1974.0,1,1,,0003-276X,178.0,3.0,567-585,"SMITH, PH",,,,,,,,Islets of Langerhans;Pancreatitis,,
4126,rayyan-1101985891,Exclude,Opto-mechanical and electronic design of a tunnel-trap Si radiometer,2000.0,1,1,,1044-677X,105.0,6.0,813-828,"Eppeldauer, GP and Lynch, DC",,,,,"A transmission-type light-trap silicon radiometer has been developed to hold the NIST spectral power and irradiance responsivity scales between 406 nm and 920 nm. The device is built from replace able input apertures and tightly packed different-size silicon photodiodes. The photodiodes ave positioned in a triangular shape tunnel such that beam clipping is entirely eliminated within an 8 degrees field-of-view (FOV). A light trap is attached to the output of the radiometer to collect the transmitted radiation and to minimize the effect of ambient light. The photodiodes, selected for equal shunt resistance, are connected in parallel. The capacitance and the resultant shunt resistance of the device were measured and frequency compensations were applied in the feedback network of the photocurrent-to-voltage converter to optimize signal-, voltage-, and loop-gain characteristics. The trap radiometer can measure either dc or ac optical radiation with high sensitivity. The noise-equivalent-power of the optimized device is 47 fW in dc mode and 5.2 fW at 10 Hz chopping. The relative deviation from the cosine responsivity in irradiance mode was measured to be equal to or less than 0.02 % within 5 degrees FOV and 0.05 % at 8 degrees FOV. The trap-radiometer can transfer irradiance responsivities with uncertainties comparable to those of primary standard radiometers. Illuminance and irradiance meters, holding the SI units (candela, color- and radiance-temperature), will be calibrated directly against the transfer standard trap-radiometer to obtain improved accuracy in the base-units.",,,,,
2830,rayyan-1101984595,Exclude,"Ovocalyxin-32, a novel chicken eggshell matrix protein - Isolation, amino acid sequencing, cloning, and immunocytochemical localization",2001.0,1,1,,0021-9258,276.0,42.0,39243-39252,"Gautron, J and Hincke, MT and Mann, K and Panheleux, M and Bain, M and McKee, MD and Solomon, SE and Nys, Y",,,,,"The eggshell is a highly ordered structure resulting from the deposition of calcium carbonate concomitantly with an organic matrix upon the eggshell membranes. Mineralization takes place in an acellular uterine fluid, which contains the ionic and matrix precursors of the eggshell. We have identified a novel 32-kDa protein, ovocalyxin-32, which is expressed at high levels in the uterine and isthmus regions of the oviduct, and concentrated in the eggshell. Sequencing of peptides derived from the purified protein allowed expressed sequence tag sequences to be identified that were assembled to yield a full-length composite sequence whose conceptual translation product contained the complete amino acid sequence of ovocalyxin-32. Data base searches revealed that ovocalyxin-32 has limited identity (32%) to two unrelated proteins: latexin, a carboxypeptidase inhibitor expressed in the rat cerebral cortex and mast cells, and a skin protein, which is encoded by a retinoic acid receptor-responsive gene, TIG1. High level expression of ovocalyxin-32 was limited to the isthmus and uterus tissue, where immunocytochemistry at the light and electron microscope levels demonstrated that ovocalyxin-32 is secreted by surface epithelial cells. In the eggshell, ovocalyxin-32 localizes to the outer palisade layer, the vertical crystal layer, and the cuticle of the eggshell, in agreement with its demonstration by Western blotting at high levels in the uterine fluid during the termination phase of eggshell formation. Ovocalyxin-32 is therefore identified as a novel protein synthesized in the distal oviduct where hen eggshell formation occurs.",,,"Chickens;Sequence Analysis, Protein",,
6618,rayyan-1101988450,Exclude,"LIPID PEROXIDATION, ANTIOXIDANT ENZYMES ACTIVITY AND GLUTATHIONE LEVEL IN EGGS FROM HERITAGE BREED AND COMMERCIAL CROSSES HENS",2016.0,1,1,,,,,191-196,"Muchacka, Renata and Sosnowka-Czajka, Ewa and Skomorucha, Iwona and Kapusta, Edyta and Gren, Agnieszka and Goc, Zofia",,,,,"The objective of the study was to determine the activity of antioxidant enzymes and the level of GSH and MDA in yolk and white (albumen) of eggs. The experiment was carried out with 180 hens of three heritage breeds (Yellowleg Partridge, Sussex, Leghorn) and 180 commercial crosses of laying hens (Hy-Line, ISA Brown, Lohmann). Layers were reared in the litter system and had no outdoor access. Birds were assigned to groups I to VI (Yellowleg Partridge, Sussex, Leghorn, and commercial layers Hy-Line, ISA Brown and Lohmann, respectively). Birds were fed ad libitum standard diets based on concentrates for laying hens and had free access to water throughout the experiment. All the groups were managed under uniform environmental (air humidity and temperature, lighting programme) and feeding conditions. At 48 weeks of age, 6 eggs from each group were collected. In the samples of egg yolks and albumens the concentration of GSH and MDA, and activity of SOD, GPx and CAT were estimated. The results were statistically analysed by one-way analysis of variance and significant differences were estimated with Duncan's multiple range test. The egg yolks and egg albumens showed a statistically significant differences in the activity of SOD and GSH and MDA levels. The highest activity of SOD and the lowest level of MDA and GSH were observed in eggs from Sussex hens (of heritage breeds) and in eggs from Hy-Line (of commercial crosses hens). It is concluded from the present results that the origin of laying hens has an impact on the activity of antioxidant enzymes and GSH and MDA levels in eggs, which may affect their quality.",,,Lipid Peroxidation;Lipid Peroxides;Enzyme Activators;Antioxidants;Breeding;Ovum;Enzyme Activation,,
8250,rayyan-1101990082,Exclude,Yolk androgen deposition without an energetic cost for female rockhopper penguins: a compensatory strategy to accelerate brood reduction?,2011.0,1,1,,1744-9561,7.0,4.0,605-607,"Poisbleau, Maud and Carslake, David and Demongin, Laurent and Eens, Marcel and Chastel, Olivier and Quillfeldt, Petra",,,,,"Whether androgen deposition in eggs is physiologically costly for female birds has remained a crucial but unsolved question, despite a broad use of this assumption in functional studies. We tested whether females depositing high androgen concentrations experienced higher mass losses than females depositing low androgen concentrations. Analysing female body mass change during egg formation in rockhopper penguins (Eudyptes chrysocome chrysocome), we observed no energetic cost to androgen deposition. Nevertheless, lighter females laid eggs with higher yolk androgen concentrations. This relationship existed only for the second-laid egg (B-egg), but not for the first-laid egg (A-egg). Since the B-egg is usually the first to hatch and the only one to produce a fledging chick, we hypothesize that differential yolk androgen deposition may be an adaptive strategy for females to affect brood reduction.",,,,,
1426,rayyan-1101983191,Exclude,Effect of light intensity on live performance and processing characteristics of broilers,2008.0,1,1,,0032-5791,87.0,5.0,853-857,"Lien, R. J. and Hess, J. B. and McKee, S. R. and Bilgili, S. F.",,,,,"This study investigated the effects of different light intensities provided via an increasing photoperiod program on broiler live performance and processing characteristics. A total of 1,080 male broilers were evenly distributed in 12 rooms. Six rooms were subjected to intensities of either 15 footcandles (FC) from 1 to 51 d (Bright), or 0.5 FC from 1 to 9 d and 0.1 FC from 9 to 51 d (Dim). Both intensity treatments were provided in an increasing photoperiod program (23L:1D, 1 to 9 d; 12L:12D, 9 to 16 d; 14L:10D, 16 to 23 d; 17L:7D, 23 to 30 d; 20L:4D, 30 to 37 d; and 23L:1D, 37 to 51 d). Feed consumption and BW were determined, and feed conversions were calculated approximately weekly. Mortalities were necropsied and recorded daily. At 51 d, 30 birds from each room were processed and cut up to determine weights and yields. Beginning at 23 and 30 d, respectively, BW and feed consumption were greater in the Dim treatment. At 51 d, Dim treatment BW was 4.7% greater and feed consumption was 3.9% greater. Feed conversion, metabolic and total mortality, and BW uniformity were not influenced by light intensity. Weights of lean carcass, total breast, fillets, tenders, and legs were from 4.9 to 6.2% greater in the Dim treatment, which was proportional to the BW difference and resulted in similar yields of these parts. However, wings were 9.9% heavier in the Dim treatment, which resulted in greater wing yield. Equal fat pad weights resulted in reduced fat pad yield in the Dim treatment. These results indicate that BW, feed consumption, and most parts weights were increased proportionally by providing 0.1 vs. 15 FC of light intensity via an increasing photoperiod program, and that only the yields of minor parts were affected by intensity.","RAYYAN-INCLUSION: {""Carrie An""=>""Excluded""}",,,,
